[0.007s][info][gc] Using Concurrent Mark Sweep
[3.826s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002049 seconds, Stopping threads took: 0.0001143 seconds
[3.826s][info ][safepoint    ] Application time: 0.0001292 seconds
[3.826s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.826s][info ][safepoint    ] Leaving safepoint region
[3.826s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000643 seconds, Stopping threads took: 0.0000215 seconds
[3.827s][info ][safepoint    ] Application time: 0.0001662 seconds
[3.827s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.827s][info ][safepoint    ] Leaving safepoint region
[3.827s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001665 seconds, Stopping threads took: 0.0000803 seconds
[3.827s][info ][safepoint    ] Application time: 0.0006748 seconds
[3.828s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.828s][info ][safepoint    ] Leaving safepoint region
[3.828s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001559 seconds, Stopping threads took: 0.0000881 seconds
[3.828s][info ][safepoint    ] Application time: 0.0006794 seconds
[3.828s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.828s][info ][safepoint    ] Leaving safepoint region
[3.828s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001150 seconds, Stopping threads took: 0.0000296 seconds
[3.828s][info ][safepoint    ] Application time: 0.0000687 seconds
[3.829s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.829s][info ][safepoint    ] Leaving safepoint region
[3.829s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001249 seconds, Stopping threads took: 0.0000753 seconds
[3.829s][info ][safepoint    ] Application time: 0.0001863 seconds
[3.829s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.829s][info ][safepoint    ] Leaving safepoint region
[3.829s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000849 seconds, Stopping threads took: 0.0000281 seconds
[3.829s][info ][safepoint    ] Application time: 0.0000759 seconds
[3.829s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.829s][info ][safepoint    ] Leaving safepoint region
